Gene,log2FoldChange,pvalue,B.C_1,B.C_2
LOC_Os02g04750,8.079935207,2.20E-11,0,0
LOC_Os01g10320,4.23108936,3.67E-08,0,2.558710826
LOC_Os02g04760,7.005147234,5.89E-08,0,0.852903609
LOC_Os09g06560,6.237690087,3.24E-07,0,0.852903609
LOC_Os07g12590,6.326600417,3.40E-07,0,0
LOC_Os06g46480,4.044843452,4.89E-07,0,3.411614434
LOC_Os12g28100,6.514404511,7.46E-07,0,0
LOC_Os04g56120,6.476095906,9.18E-07,0,0
LOC_Os08g06170,6.348106447,1.77E-06,0,0
LOC_Os02g21750,3.544301115,1.78E-06,0,3.411614434
LOC_Os07g33440,6.477386612,1.92E-06,0,0
LOC_Os09g29690,4.926199997,1.97E-06,0,1.705807217
LOC_Os03g63350,6.025244372,3.63E-06,0,0
LOC_Os05g50770,6.334623626,3.94E-06,0,0
LOC_Os09g28690,5.690172855,6.38E-06,0,0
LOC_Os03g05900,4.192057974,7.63E-06,0,1.705807217
LOC_Os06g35940,2.877920954,8.35E-06,0,5.117421651
LOC_Os11g45400,5.518661706,1.24E-05,0,0
LOC_Os04g51820,6.079189688,1.48E-05,0,0
LOC_Os01g12640,5.509885512,1.74E-05,0,0
LOC_Os08g24720,5.82568514,2.18E-05,0,0
LOC_Os11g43350,5.503036787,2.22E-05,0,0
LOC_Os04g10100,5.938942291,2.31E-05,0,0
LOC_Os09g07730,5.441598075,2.57E-05,0,0
LOC_Os08g17990,3.460620369,2.62E-05,0,2.558710826
LOC_Os07g34870,5.346021015,2.72E-05,0,0
LOC_Os01g56870,5.679707722,2.76E-05,0,0
LOC_Os06g24530,6.419472462,2.91E-05,0,0.852903609
LOC_Os02g57840,3.507609167,3.28E-05,0,2.558710826
LOC_Os01g31660,5.844725064,3.37E-05,0,0
LOC_Os01g52140,5.602105009,5.65E-05,0,0
LOC_Os07g15930,5.207261435,5.91E-05,0,0
LOC_Os02g58214,3.762912608,6.65E-05,0,1.705807217
LOC_Os09g28580,3.597451173,7.06E-05,0,1.705807217
LOC_Os01g67820,3.686825958,8.03E-05,0,2.558710826
LOC_Os11g32650,4.801918587,9.79E-05,0,0
LOC_Os11g31020,5.418533375,0.000100811,0,0
LOC_Os05g01444,5.139779548,0.000101704,0,0
LOC_Os02g57850,2.687284421,0.00010358,0,5.117421651
LOC_Os11g40840,5.124182031,0.000108751,0,0
LOC_Os08g04350,5.013301262,0.000109846,0,0
LOC_Os04g30010,4.925477501,0.000111502,0,0.852903609
LOC_Os06g44410,3.309260566,0.000111669,0,2.558710826
LOC_Os07g48980,5.231820263,0.000118587,0,0
LOC_Os04g06900,2.68384048,0.000128918,0,5.117421651
LOC_Os01g44120,5.124099879,0.000129618,0,0
LOC_Os03g10300,5.351304908,0.000147557,0,0
LOC_Os03g18880,3.618057335,0.000152339,0,1.705807217
LOC_Os08g01260,5.014999443,0.000154285,0,0
LOC_Os05g50815,2.683940385,0.000168793,0,4.264518043
LOC_Os01g34450,5.133309687,0.000169928,0,0
LOC_Os06g20920,3.203239799,0.000171381,0,2.558710826
LOC_Os11g12300,5.638060355,0.000173711,0,0
LOC_Os11g06240,4.994735629,0.000205077,0,0
LOC_Os09g34290,4.027746049,0.000227242,0,1.705807217
LOC_Os02g41910,5.016994204,0.000250504,0,0
LOC_Os02g50220,4.801827895,0.000259123,0,0
LOC_Os11g38850,4.811301056,0.000266965,0,0
LOC_Os12g42680,4.729633165,0.000275145,0,0.852903609
LOC_Os06g47910,3.649209075,0.000277316,0,3.411614434
LOC_Os08g30900,3.478533252,0.000278787,0,1.705807217
LOC_Os04g12970,5.116739942,0.000293671,0,0
LOC_Os12g10390,4.816754259,0.000294087,0,0
LOC_Os01g66840,2.903323428,0.000342674,0,5.97032526
LOC_Os07g04110,5.256604597,0.000365098,0,0
LOC_Os05g35050,5.022981992,0.000380146,0,0
LOC_Os04g21860,5.018707113,0.000421617,0,0
LOC_Os12g01900,3.640301168,0.000425444,0,1.705807217
LOC_Os09g38100,4.836974347,0.000450723,0,0
LOC_Os08g34400,4.590309735,0.000456837,0,1.705807217
LOC_Os07g37210,3.196386322,0.000505277,0,1.705807217
LOC_Os01g65700,5.019288648,0.000518324,0,0
LOC_Os04g31880,4.674836094,0.000536031,0,0.852903609
LOC_Os08g06620,5.177434251,0.000554621,0,0
LOC_Os07g46920,4.799858891,0.000563542,0,0
LOC_Os01g25010,4.30081883,0.000570214,0,0.852903609
LOC_Os07g22910,2.763030209,0.000613091,0,5.117421651
LOC_Os02g58170,2.843336947,0.000614145,0,4.264518043
LOC_Os12g03670,4.651202041,0.000617841,0,0
LOC_Os08g39410,5.454530425,0.000690237,0,0
